"TOA5","ILHA SOLTEIRA-SP","CR1000X","23875","CR1000X.Std.04.02","CPU:ILHA SOLTEIRA_SP_Rev01.CR1X","18206","GHI_seg_ILHA_SP","TIMESTAMP","RECORD","GHI1","GHI2","GHI3","GRI","Cell_Isc","TS","RN","W/m^2","W/m^2","W/m²","W/m^2","Amps","","","Smp","Smp","Smp","Smp","Smp"
2024-07-04 00:00:00,72607487,65534,65534,0,0,0.0001801033
2024-07-04 00:00:01,72607488,65534,65534,0,0,0.0001803605
2024-07-04 00:00:02,72607489,65534,65534,0,0,0.0001816466
2024-07-04 00:00:03,72607490,65534,65534,0,0,0.0001806177
2024-07-04 00:00:04,72607491,65534,65534,0,0,0.0001803605
2024-07-04 00:00:05,72607492,65534,65534,0,0,0.0001808749
2024-07-04 00:00:06,72607493,65534,65534,0,0,0.0001808749
2024-07-04 00:00:07,72607494,65534,65534,0,0,0.0001808749
2024-07-04 00:00:08,72607495,65534,65534,0,0,0.0001811321
2024-07-04 00:00:09,72607496,65534,65534,0,0,0.0001811321
2024-07-04 00:00:10,72607497,65534,65534,0,0,0.0001803605
2024-07-04 00:00:11,72607498,65534,65534,0,0,0.0001803605
2024-07-04 00:00:12,72607499,65534,65534,0,0,0.0001808749
2024-07-04 00:00:13,72607500,65534,65534,0,0,0.0001808749
2024-07-04 00:00:14,72607501,65534,65534,0,0,0.0001811321
2024-07-04 00:00:15,72607502,65534,65534,0,0,0.0001813894
2024-07-04 00:00:16,72607503,65534,65534,0,0,0.0001811321
2024-07-04 00:00:17,72607504,65534,65534,0,0,0.0001808749
2024-07-04 00:00:18,72607505,65534,65534,0,0,0.0001808749
2024-07-04 00:00:19,72607506,65534,65534,0,0,0.0001808749
2024-07-04 00:00:20,72607507,65534,65534,0,0,0.0001808749
2024-07-04 00:00:21,72607508,65534,65534,0,0,0.0001806177
2024-07-04 00:00:22,72607509,65534,65534,0,0,0.0001803605
2024-07-04 00:00:23,72607510,65534,65534,0,0,0.0001806177
2024-07-04 00:00:24,72607511,65534,65534,0,0,0.0001803605
2024-07-04 00:00:25,72607512,65534,65534,0,0,0.0001808749
2024-07-04 00:00:26,72607513,65534,65534,0,0,0.0001806177
2024-07-04 00:00:27,72607514,65534,65534,0,0,0.0001811321
2024-07-04 00:00:28,72607515,65534,65534,0,0,0.0001808749
2024-07-04 00:00:29,72607516,65534,65534,0,0,0.0001811321
2024-07-04 00:00:30,72607517,65534,65534,0,0,0.0001808749
2024-07-04 00:00:31,72607518,65534,65534,0,0,0.0001806177
2024-07-04 00:00:32,72607519,65534,65534,0,0,0.0001806177
2024-07-04 00:00:33,72607520,65534,65534,0,0,0.0001801033
2024-07-04 00:00:34,72607521,65534,65534,0,0,0.0001811321
2024-07-04 00:00:35,72607522,65534,65534,0,0,0.0001806177
2024-07-04 00:00:36,72607523,65534,65534,0,0,0.0001806177
2024-07-04 00:00:37,72607524,65534,65534,0,0,0.0001801033
2024-07-04 00:00:38,72607525,65534,65534,0,0,0.0001811321
2024-07-04 00:00:39,72607526,65534,65534,0,0,0.0001808749
2024-07-04 00:00:40,72607527,65534,65534,0,0,0.0001808749
2024-07-04 00:00:41,72607528,65534,65534,0,0,0.0001811321
2024-07-04 00:00:42,72607529,65534,65534,0,0,0.0001801033
2024-07-04 00:00:43,72607530,65534,65534,0,0,0.0001806177
2024-07-04 00:00:44,72607531,65534,65534,0,0,0.0001811321
2024-07-04 00:00:45,72607532,65534,65534,0,0,0.0001811321
2024-07-04 00:00:46,72607533,65534,65534,0,0,0.0001813894
2024-07-04 00:00:47,72607534,65534,65534,0,0,0.0001808749
2024-07-04 00:00:48,72607535,65534,65534,0,0,0.0001813894
2024-07-04 00:00:49,72607536,65534,65534,0,0,0.0001801033
2024-07-04 00:00:50,72607537,65534,65534,0,0,0.0001806177
2024-07-04 00:00:51,72607538,65534,65534,0,0,0.0001801033
2024-07-04 00:00:52,72607539,65534,65534,0,0,0.0001806177
2024-07-04 00:00:53,72607540,65534,65534,0,0,0.0001816466
2024-07-04 00:00:54,72607541,65534,65534,0,0,0.0001808749
2024-07-04 00:00:55,72607542,65534,65534,0,0,0.0001806177
2024-07-04 00:00:56,72607543,65534,65534,0,0,0.000179846
2024-07-04 00:00:57,72607544,65534,65534,0,0,0.0001808749
2024-07-04 00:00:58,72607545,65534,65534,0,0,0.000179846
2024-07-04 00:00:59,72607546,65534,65534,0,0,0.0001808749
2024-07-04 00:01:00,72607547,65534,65534,0,0,0.0001803605
2024-07-04 00:01:01,72607548,65534,65534,0,0,0.0001803605
2024-07-04 00:01:02,72607549,65534,65534,0,0,0.0001811321
2024-07-04 00:01:03,72607550,65534,65534,0,0,0.0001811321
2024-07-04 00:01:04,72607551,65534,65534,0,0,0.0001816466
2024-07-04 00:01:05,72607552,65534,65534,0,0,0.0001806177
2024-07-04 00:01:06,72607553,65534,65534,0,0,0.0001806177
2024-07-04 00:01:07,72607554,65534,65534,0,0,0.0001803605
2024-07-04 00:01:08,72607555,65534,65534,0,0,0.0001808749
2024-07-04 00:01:09,72607556,65534,65534,0,0,0.0001803605
2024-07-04 00:01:10,72607557,65534,65534,0,0,0.0001801033
2024-07-04 00:01:11,72607558,65534,65534,0,0,0.000179846
2024-07-04 00:01:12,72607559,65534,65534,0,0,0.0001811321
2024-07-04 00:01:13,72607560,65534,65534,0,0,0.0001803605
2024-07-04 00:01:14,72607561,65534,65534,0,0,0.0001806177
2024-07-04 00:01:15,72607562,65534,65534,0,0,0.0001806177
