"TOA5","SOUSA-PB","CR1000X","23878","CR1000X.Std.04.02","CPU:SOUSA_PB_Rev01.CR1X","22899","Tab_dados_SOUSA_PB"
"TIMESTAMP","RECORD","SOUSA_PB_6.837202S_38.293447O_244m","Vel_Avg","Vel_Max","Vel_Min","Vel_Std","Temp_Avg","Temp_Max","Temp_Min","Temp_Std","UR_Avg","UR_Max","UR_Min","UR_Std","GHI1_Avg","GHI1_Max","GHI1_Min","GHI1_Std","GHI2_Avg","GHI2_Max","GHI2_Min","GHI2_Std","GHI3_Avg","GHI3_Max","GHI3_Min","GHI3_Std","GRI_Avg","GRI_Max","GRI_Min","GRI_Std","ALB1_Avg","ALB1_Max","ALB1_Min","ALB1_Std","ALB2_Avg","ALB2_Max","ALB2_Min","ALB2_Std","ALB3_Avg","ALB3_Max","ALB3_Min","ALB3_Std","Cell_Isc_Avg","Cell_Isc_Max","Cell_Isc_Min","Cell_Isc_Std","Cell_Temp_Avg","Cell_Temp_Max","Cell_Temp_Min","Cell_Temp_Std","BattV_Min","PTemp_C","Prec_Tot"
"TS","RN","","m/s","m/s","m/s","m/s","Deg C","Deg C","Deg C","Deg C","RH","RH","RH","RH","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m²","W/m²","W/m²","W/m²","W/m^2","W/m^2","W/m^2","W/m^2","","","","","","","","","","","","","Amps","Amps","Amps","Amps","°C","°C","°C","°C","Volts","Deg C","mm"
"","","Smp:Sample","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Min","Smp","Tot"
2024-07-02 10:46:00,1248120,1,2.7,5.247,1.247,1.088,30.15,30.21,30.1,0.029,49.62,50.51,48.77,0.525,848.8762,849.9095,848.0468,0.5016844,855.2842,856.7122,854.1562,0.7094796,811.4502,814.6572,809.0711,1.17943,142.5586,143.2978,141.936,0.423939,0.1679271,0.1687523,0.1672799,0.0004115189,0.1666701,0.1673876,0.1660843,0.000370109,0.1756727,0.1767963,0.1746935,0.0004552047,0.1124984,0.1129368,0.112162,0.0001607592,50.44784,50.73513,50.28251,0.1414728,13.2,34.46,0.0
2024-07-02 10:47:00,1248121,1,2.354,3.647,1.247,0.671,30.29,30.37,30.17,0.057,50.51,51.74,48.32,1.016,849.6786,850.4183,849.1942,0.2756461,856.7391,857.512,855.7822,0.2983533,813.0222,815.192,810.8643,1.084547,143.4451,143.8839,143.0508,0.2233569,0.1688285,0.1693798,0.1684455,0.000255671,0.1674395,0.1679661,0.1669475,0.0002632277,0.176447,0.1771502,0.1757324,0.0003478953,0.1127176,0.11302,0.1124199,0.0001507806,50.46896,50.57683,50.36357,0.05600687,13.19,34.5,0.0
2024-07-02 10:48:00,1248122,1,1.216,2.047,0.0,0.479,30.31,30.38,30.24,0.033,48.58,49.45,48.18,0.328,849.4377,849.8933,848.979,0.2096424,857.2927,857.9175,856.3729,0.3073758,813.9042,816.2834,811.2054,1.009098,143.3016,143.4941,143.0565,0.1080621,0.1686949,0.1689621,0.1683718,0.000141148,0.1671519,0.1673638,0.1669224,0.0001193456,0.1760713,0.1766129,0.1755721,0.0002433933,0.1128574,0.1132132,0.1124618,0.0001459971,50.78331,51.24762,50.38081,0.266982,13.19,34.54,0.0
2024-07-02 10:49:00,1248123,1,3.476,6.047,0.0,1.792,30.27,30.31,30.23,0.02,49.91,50.79,49.07,0.454,849.3138,850.1752,847.7709,0.4216946,857.7047,858.5947,857.1373,0.3660835,814.2103,815.957,811.8344,0.798722,143.6615,144.173,142.7238,0.3395014,0.1691652,0.1697382,0.1678976,0.0004142606,0.1675105,0.1680997,0.1662693,0.0004151491,0.1764518,0.177081,0.1750799,0.0004684226,0.1129324,0.1131735,0.1126006,0.0001086141,51.36866,51.62916,50.81442,0.2198763,13.2,34.59,0.0
2024-07-02 10:50:00,1248124,1,3.634,5.247,2.047,0.807,30.16,30.3,30.01,0.087,49.27,50.13,48.77,0.342,850.8608,851.395,850.0585,0.3534096,859.2878,860.057,858.3201,0.4871279,815.5463,818.2977,814.3092,0.7024152,142.4729,142.9378,141.9889,0.2739979,0.1674598,0.1680924,0.1668392,0.0003659767,0.1658187,0.1664803,0.165235,0.0003699175,0.1747094,0.1754353,0.1740206,0.0003875261,0.1130432,0.1134045,0.1128608,8.902649e-05,50.03382,50.80498,49.48663,0.3678975,13.2,34.63,0.0
2024-07-02 10:51:00,1248125,1,2.727,4.447,1.247,0.874,30.03,30.05,29.99,0.017,50.54,51.41,49.68,0.501,851.7463,852.2498,851.0887,0.2860447,860.7802,861.442,859.5757,0.5161476,816.4914,818.8535,813.7921,0.982379,142.7122,143.338,142.2783,0.2714106,0.1675323,0.1682323,0.1670826,0.0002996718,0.1657768,0.1663878,0.1653992,0.0002348984,0.1747653,0.1756591,0.1739264,0.0003696916,0.1131287,0.1134586,0.1127504,0.0001348218,49.22028,49.51601,49.08786,0.1108829,13.2,34.66,0.0
2024-07-02 10:52:00,1248126,1,2.154,2.847,1.247,0.425,30.11,30.2,30.03,0.049,50.14,50.92,49.78,0.282,850.9796,851.7615,848.2032,0.86577,861.156,861.8109,860.7263,0.2216581,817.4693,821.2715,814.6768,1.169859,143.44,143.7636,143.2154,0.1477879,0.1685392,0.1694485,0.1682017,0.0002997628,0.1665579,0.166943,0.1662843,0.000161781,0.175465,0.1762567,0.1744209,0.0002888382,0.1132885,0.1138099,0.1128986,0.0001647113,49.65385,50.01923,49.2567,0.2113655,13.18,34.68,0.0
2024-07-02 10:53:00,1248127,1,2.754,4.447,2.047,0.508,30.24,30.27,30.2,0.016,50.13,50.72,49.57,0.353,849.2017,850.9154,843.3439,1.411559,861.0042,861.6212,855.3361,0.848859,817.7567,819.3044,816.1462,0.6497687,143.1758,143.7957,142.5358,0.2734985,0.1686202,0.1695486,0.1679762,0.0004743765,0.1663014,0.1670234,0.1659072,0.000322475,0.1751021,0.1759995,0.1743047,0.0003903217,0.113349,0.1135653,0.11313,8.938457e-05,50.02397,50.10863,49.70605,0.06752711,13.18,34.71,0.0
2024-07-02 10:54:00,1248128,1,2.527,4.447,1.247,0.816,30.33,30.42,30.21,0.058,50.99,52.46,49.52,1.072,850.8571,851.4251,850.4264,0.2146961,862.0459,862.5746,861.3743,0.3078634,818.4142,820.3678,816.1222,1.034812,143.4609,143.8495,143.0829,0.210956,0.1686111,0.1690621,0.1681498,0.000253861,0.1664248,0.1668645,0.1659066,0.0002451298,0.1752859,0.1761759,0.1745236,0.0003400953,0.1134431,0.1137146,0.1131296,0.0001436093,50.07628,50.21252,49.82156,0.1051259,13.16,34.73,0.0
2024-07-02 10:55:00,1248129,1,4.434,6.047,2.847,0.941,30.51,30.56,30.41,0.041,49.98,51.85,48.86,0.824,851.3184,851.7694,850.8039,0.2477563,863.0394,863.532,862.5637,0.2708918,818.851,821.7269,816.6279,0.8384793,143.4905,144.3065,142.925,0.4112411,0.1685482,0.1695605,0.1678168,0.000515639,0.1662603,0.1672599,0.1655876,0.0005078633,0.1752384,0.1764832,0.1740818,0.0005388167,0.1134874,0.113864,0.1131565,0.0001155597,49.78577,50.21361,49.18959,0.3012988,13.17,34.75,0.0
2024-07-02 10:56:00,1248130,1,3.207,4.447,2.047,0.592,30.56,30.59,30.51,0.022,49.07,50.06,48.52,0.428,852.0479,853.6058,851.3582,0.6643584,863.8116,864.1411,863.4518,0.1865316,819.4366,821.0633,818.1384,0.6524461,143.1404,143.6954,142.8383,0.2454098,0.1680092,0.168717,0.1675492,0.0003382408,0.1657165,0.1663672,0.1653441,0.0002982934,0.1746875,0.1756171,0.1741618,0.0003436922,0.1135261,0.113754,0.1133463,8.993394e-05,49.02839,49.19123,48.81586,0.06695334,13.17,34.77,0.0
